Title,Genre
Toy Story (1995),Animation|Adventure|Comedy
Jumanji (1995),Action|Adventure|Family
Grumpier Old Men (1995),Comedy|Romance
Waiting to Exhale (1995),Comedy|Drama|Romance
Father of the Bride Part II (1995),Comedy|Family|Romance
Heat (1995),Action|Crime|Drama
Sabrina (1995),Comedy|Drama
Tom and Huck (1995),Adventure|Comedy|Drama
Sudden Death (1995),Action|Crime|Thriller
GoldenEye (1995),Action|Adventure|Thriller
The American President (1995),Comedy|Drama|Romance
Dracula: Dead and Loving It (1995),Comedy|Fantasy|Horror
Balto (1995),Animation|Adventure|Drama
Nixon (1995),Biography|Drama|History
Cutthroat Island (1995),Action|Adventure|Comedy
Casino (1995),Crime|Drama
Sense and Sensibility (1995),Drama|Romance
Four Rooms (1995),Comedy
Ace Ventura: When Nature Calls (1995),Adventure|Comedy|Crime
Money Train (1995),Action|Comedy|Crime
Get Shorty (1995),Comedy|Crime|Thriller
Copycat (1995),Crime|Drama|Mystery
Assassins (1995),Action|Crime|Thriller
Powder (1995),Drama|Fantasy|Mystery
Leaving Las Vegas (1995),Drama|Romance
Othello (1995),Drama|Romance
Now and Then (1995),Comedy|Drama|Romance
Persuasion,Drama
The City of Lost Children (1995),Fantasy|Sci-Fi
"Yao a yao, yao dao wai po qiao (1995)",Crime|Drama|Romance
Dangerous Minds (1995),Biography|Drama
Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller
Wings of Courage (1995),Adventure|Romance
Babe (1995),Comedy|Drama|Family
Carrington (1995),Biography|Drama|Romance
Dead Man Walking (1995),Crime|Drama
Across the Sea of Time (1995),Adventure|Drama|Family
It Takes Two (1995),Comedy|Family|Romance
Clueless (1995),Comedy|Romance
"Cry, the Beloved Country (1995)",Drama|Thriller
Richard III (1995),Drama|War
Dead Presidents (1995),Action|Crime|Drama
Restoration (1995),Biography|Drama|History
Mortal Kombat (1995),Action|Adventure|Fantasy
To Die For (1995),Comedy|Crime|Drama
How to Make an American Quilt (1995),Comedy|Drama|Romance
Se7en (1995),Crime|Drama|Mystery
Pocahontas (1995),Animation|Adventure|Drama
When Night Is Falling (1995),Drama|Romance
The Usual Suspects (1995),Crime|Drama|Mystery
Guardian Angel (1994),Action|Drama|Thriller
Mighty Aphrodite (1995),Comedy|Fantasy|Romance
Lamerica (1994),Drama
The Big Green (1995),Comedy|Family|Sport
Georgia (1995),Drama|Music
Kids of the Round Table (1995),Adventure|Comedy|Family
Home for the Holidays (1995),Comedy|Drama|Romance
Il Postino: The Postman (1994),Biography|Comedy|Drama
Le confessionnal (1995),Drama|Mystery|Thriller
The Indian in the Cupboard (1995),Drama|Family|Fantasy
Eye for an Eye (1996),Crime|Drama|Thriller
Mr. Holland's Opus (1995),Drama|Music
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
Two If by Sea (1996),Comedy|Crime|Romance
Bio-Dome (1996),Comedy
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
Two Bits (1995),Drama
French Twist (1995),Comedy
Friday (1995),Comedy|Drama
From Dusk Till Dawn (1996),Action|Crime|Horror
Fair Game (1995),Action|Crime|Romance
Kicking and Screaming (1995),Comedy|Drama|Romance
Les misí©rables (1995),Drama|History
Bed of Roses (1996),Romance|Drama
Big Bully (1996),Comedy|Thriller
Screamers (1995),Sci-Fi|Thriller
Nico Icon (1995),Documentary|Biography|Music
The Crossing Guard (1995),Drama|Thriller
The Juror (1996),Drama|Thriller
The White Balloon (1995),Drama|Family
Things to Do in Denver When You're Dead (1995),Crime|Drama
Antonia's Line (1995),Comedy|Drama
Once Upon a Time... When We Were Colored (1995),Drama|Romance
Last Summer in the Hamptons (1995),Comedy|Drama
Angels and Insects (1995),Drama|Romance
White Squall (1996),Adventure|Drama
Dunston Checks In (1996),Comedy|Adventure|Family
Black Sheep (1996),Comedy
Nick of Time (1995),Action|Crime|Drama
The Journey of August King (1995),Drama
Mary Reilly (1996),Drama|Horror|Romance
Vampire in Brooklyn (1995),Comedy|Fantasy|Horror
Beautiful Girls (1996),Comedy|Drama|Romance
Broken Arrow (1996),Action|Crime|Thriller
A Midwinter's Tale (1995),Comedy
La Haine (1995),Crime|Drama
Shopping (1994),Action|Crime|Drama
Heidi Fleiss: Hollywood Madam (1995),Documentary|Biography
City Hall (1996),Drama
Bottle Rocket (1996),Comedy|Crime|Drama
Mr. Wrong (1996),Comedy
Unforgettable (1996),Drama|Mystery|Sci-Fi
Happy Gilmore (1996),Comedy|Family|Sport
The Bridges of Madison County (1995),Drama|Romance
Nobody Loves Me (1994),Comedy|Drama
Muppet Treasure Island (1996),Action|Adventure|Comedy
Catwalk (1995),Documentary
Headless Body in Topless Bar (1995),Comedy|Crime|Drama
Braveheart (1995),Biography|Drama|History
Taxi Driver (1976),Crime|Drama
Rumble in the Bronx (1995),Action|Comedy|Crime
Before and After (1996),Crime|Drama|Mystery
Margaret's Museum (1995),Drama
Happiness Is in the Field (1995),Comedy
Anne Frank Remembered (1995),Documentary|Biography|War
The Young Poisoner's Handbook (1995),Crime|Drama
If Lucy Fell (1996),Comedy|Romance
Steal Big Steal Little (1995),Comedy
Race the Sun (1996),Adventure|Comedy|Drama
The Boys of St. Vincent (1992),Drama
Boomerang (1992),Comedy|Drama|Romance
Chungking Express (1994),Comedy|Drama|Romance
The Star Maker (1995),Drama|Romance
Flirting with Disaster (1996),Comedy
The Neverending Story III (1994),Adventure|Comedy|Family
The Silences of the Palace (1994),Drama
Jupiter's Wife (1995),Documentary|Biography|Mystery
Pie in the Sky (1996),Comedy|Romance
Angela (1995),Drama
Frankie Starlight (1995),Drama|Romance|War
Jade (1995),Crime|Drama|Thriller
Nueba Yol (1995),Comedy|Drama
Sonic Outlaws (1995),Documentary
Down Periscope (1996),Comedy
From the Journals of Jean Seberg (1995),Documentary|Biography
Man of the Year (1995),Comedy|Romance
The Neon Bible (1995),Drama
Target (1995),Drama
Up Close & Personal (1996),Drama|Romance
The Birdcage (1996),Comedy
Cienie (1988),Drama
Gospa (1995),Drama
The Brothers McMullen (1995),Comedy|Drama|Romance
Bad Boys (1995),Action|Comedy|Crime
The Amazing Panda Adventure (1995),Family|Adventure|Drama
The Basketball Diaries (1995),Biography|Crime|Drama
An Awfully Big Adventure (1995),Comedy|Drama|Romance
Amateur (1994),Comedy|Crime|Drama
Apollo 13 (1995),Adventure|Drama|History
Rob Roy (1995),Adventure|Biography|History
The Addiction (1995),Horror
Batman Forever (1995),Action|Adventure|Fantasy
Belle de Jour (1967),Drama
Beyond Rangoon (1995),Action|Drama
Blue in the Face (1995),Comedy
Canadian Bacon (1995),Comedy
Casper (1995),Comedy|Family|Fantasy
Clockers (1995),Crime|Drama|Mystery
Congo (1995),Action|Adventure|Mystery
Crimson Tide (1995),Action|Drama|Thriller
Crumb (1994),Documentary|Biography|Comedy
Desperado (1995),Action|Thriller
Devil in a Blue Dress (1995),Crime|Drama|Mystery
Die Hard with a Vengeance (1995),Action|Adventure|Thriller
The Doom Generation (1995),Action|Comedy|Crime
Feast of July (1995),Crime|Drama|Mystery
First Knight (1995),Action|Adventure|Romance
Free Willy 2: The Adventure Home (1995),Adventure|Drama|Family
Hackers (1995),Comedy|Crime|Drama
Jeffrey (1995),Comedy|Drama
Johnny Mnemonic (1995),Action|Crime|Sci-Fi
Judge Dredd (1995),Action|Crime|Sci-Fi
Jury Duty (1995),Comedy
Kids (1995),Drama
Living in Oblivion (1995),Comedy|Drama
Lord of Illusions (1995),Horror|Mystery|Thriller
Love & Human Remains (1993),Drama|Comedy
Mad Love (1995),Drama|Romance
Mallrats (1995),Comedy|Romance
Mighty Morphin Power Rangers: The Movie (1995),Action|Adventure|Family
Moonlight and Valentino (1995),Comedy|Drama|Romance
Mute Witness (1995),Horror|Thriller
Nadja (1994),Drama|Horror
The Net (1995),Action|Crime|Drama
Nine Months (1995),Comedy|Romance
Party Girl (1995),Comedy
The Prophecy (1995),Action|Crime|Drama
Reckless (1995),Comedy|Drama|Fantasy
Safe (1995),Drama
The Scarlet Letter (1995),Drama|Romance
The Show (1995),Documentary|Music
Showgirls (1995),Drama
Smoke (1995),Comedy|Drama
Something to Talk About (1995),Comedy|Drama|Romance
Species (1995),Action|Horror|Sci-Fi
The Stars Fell on Henrietta (1995),Drama
Strange Days (1995),Action|Crime|Drama
